CRASH_DAY_NUM,CRASH_DAY,CRASH_HOUR,CRASH_YEAR,FATAL,NONE,NONINCAPACITATING_INJURY,NO_INDICATION_OF_INJURY,REFUSED_EMS,REPORTED_NOT_EVIDENT,INCAPACITATING_INJURY
3,Wed,9,2019,0,0,96,1898,0,49,18
3,Wed,9,2018,0,0,93,1754,0,72,16
3,Wed,10,2022,0,0,26,718,0,25,7
3,Wed,10,2021,0,0,81,1271,0,34,9
3,Wed,10,2020,0,0,62,1129,0,57,8
3,Wed,10,2019,0,0,67,1503,0,44,15
3,Wed,10,2018,0,0,76,1502,0,48,13
3,Wed,11,2022,0,0,20,729,0,27,3
3,Wed,11,2021,0,0,90,1497,0,60,8
3,Wed,11,2020,2,0,84,1226,0,55,16
3,Wed,11,2019,1,0,79,1571,0,50,11
3,Wed,11,2018,2,0,74,1529,0,40,14
3,Wed,12,2022,0,0,46,850,0,17,12
3,Wed,12,2021,0,0,88,1761,0,49,14
3,Wed,12,2020,3,0,75,1626,0,58,15
3,Wed,12,2019,0,0,95,1672,0,57,7
3,Wed,12,2018,2,0,84,1883,0,46,10
3,Wed,13,2022,1,0,41,880,0,30,8
3,Wed,13,2021,2,0,101,1832,0,51,20
3,Wed,13,2020,3,0,59,1642,0,75,16
3,Wed,13,2019,2,0,130,1886,0,47,29
3,Wed,13,2018,0,0,96,1962,0,69,19
3,Wed,14,2022,0,0,63,1157,0,35,10
3,Wed,14,2021,0,0,122,2140,0,79,18
3,Wed,14,2020,2,0,119,1962,0,70,24
3,Wed,14,2019,1,0,87,2151,0,62,18
3,Wed,14,2018,0,0,115,2299,0,66,18
3,Wed,15,2022,0,0,70,1420,0,52,10
3,Wed,15,2021,0,0,150,2704,0,68,18
3,Wed,15,2020,0,0,89,2155,0,76,19
3,Wed,15,2019,2,0,154,2838,0,73,26
3,Wed,15,2018,0,0,139,2786,0,80,19
3,Wed,16,2022,0,0,74,1437,0,30,8
3,Wed,16,2021,0,0,141,2468,0,76,17
3,Wed,16,2020,0,0,106,2255,0,70,21
3,Wed,16,2019,0,0,121,3086,0,99,30
3,Wed,16,2018,0,0,149,2952,0,100,24
3,Wed,17,2022,0,0,55,1214,0,41,10
3,Wed,17,2021,0,0,152,2564,0,63,15
3,Wed,17,2020,0,0,141,2203,0,59,21
3,Wed,17,2019,1,0,126,2931,0,94,17
3,Wed,17,2018,0,0,119,2972,0,86,34
3,Wed,18,2022,0,0,48,1013,0,29,8
3,Wed,18,2021,2,0,110,2018,0,81,24
3,Wed,18,2020,0,0,118,1718,0,51,17
3,Wed,18,2019,0,0,125,2186,0,87,16
3,Wed,18,2018,0,0,103,2201,0,63,22
3,Wed,19,2022,1,0,37,637,0,24,7
3,Wed,19,2021,1,0,88,1333,0,28,22
3,Wed,19,2020,2,0,98,1134,0,37,12
3,Wed,19,2019,1,0,87,1540,0,44,14
3,Wed,19,2018,0,0,88,1464,0,59,22
3,Wed,20,2022,1,0,35,503,0,13,2
3,Wed,20,2021,1,0,73,1010,0,50,17
3,Wed,20,2020,5,0,69,1014,0,25,23
3,Wed,20,2019,0,0,92,1058,0,32,11
3,Wed,20,2018,1,0,72,1061,0,41,17
3,Wed,21,2022,3,0,51,423,0,16,6
3,Wed,21,2021,3,0,88,844,0,37,14
3,Wed,21,2020,2,0,66,848,0,30,20
3,Wed,21,2019,2,0,76,938,0,34,9
3,Wed,21,2018,1,0,73,995,0,27,20
3,Wed,22,2022,0,0,27,335,0,5,2
3,Wed,22,2021,1,0,65,737,0,23,15
3,Wed,22,2020,2,0,44,599,0,25,15
3,Wed,22,2019,0,0,48,750,0,16,10
3,Wed,22,2018,1,0,68,791,0,25,10
3,Wed,23,2022,0,0,30,251,0,6,4
3,Wed,23,2021,1,0,44,555,0,15,11
3,Wed,23,2020,8,0,65,541,0,26,7
3,Wed,23,2019,1,0,46,583,0,15,6
3,Wed,23,2018,0,0,50,624,0,27,16
4,Thu,0,2022,1,0,12,150,0,4,3
4,Thu,0,2021,1,0,57,444,0,15,8
4,Thu,0,2020,0,0,38,396,0,7,9
4,Thu,0,2019,0,0,37,417,0,20,6
4,Thu,0,2018,1,0,51,377,0,12,6
4,Thu,1,2022,0,0,16,136,0,6,6
4,Thu,1,2021,1,0,36,360,0,20,3
4,Thu,1,2020,0,0,18,277,0,1,7
4,Thu,1,2019,1,0,15,238,0,6,6
4,Thu,1,2018,3,0,20,215,0,9,5
4,Thu,2,2022,0,0,5,76,0,4,6
4,Thu,2,2021,1,0,22,266,0,11,11
4,Thu,2,2020,1,0,20,224,0,8,8
